times,home_teams,score_home,score_away,away_teams
02.09. 18:30,Brighton,3,1,Newcastle
02.09. 16:00,Brentford,2,2,Bournemouth
02.09. 16:00,Burnley,2,5,Tottenham
02.09. 16:00,Chelsea,0,1,Nottingham
02.09. 16:00,Manchester City,5,1,Fulham
02.09. 13:30,Sheffield Utd,2,2,Everton
01.09. 21:00,Luton,1,2,West Ham
27.08. 17:30,Newcastle,1,2,Liverpool
27.08. 15:00,Burnley,1,3,Aston Villa
27.08. 15:00,Sheffield Utd,1,2,Manchester City
26.08. 18:30,Brighton,1,3,West Ham
26.08. 16:00,Arsenal,2,2,Fulham
26.08. 16:00,Brentford,1,1,Crystal Palace
26.08. 16:00,Everton,0,1,Wolves
26.08. 16:00,Manchester Utd,3,2,Nottingham
26.08. 13:30,Bournemouth,0,2,Tottenham
25.08. 21:00,Chelsea,3,0,Luton
21.08. 21:00,Crystal Palace,0,1,Arsenal
20.08. 17:30,West Ham,3,1,Chelsea
20.08. 15:00,Aston Villa,4,0,Everton
19.08. 21:00,Manchester City,1,0,Newcastle
19.08. 18:30,Tottenham,2,0,Manchester Utd
19.08. 16:00,Fulham,0,3,Brentford
19.08. 16:00,Liverpool,3,1,Bournemouth
19.08. 16:00,Wolves,1,4,Brighton
18.08. 20:45,Nottingham,2,1,Sheffield Utd
14.08. 21:00,Manchester Utd,1,0,Wolves
13.08. 17:30,Chelsea,1,1,Liverpool
13.08. 15:00,Brentford,2,2,Tottenham
12.08. 18:30,Newcastle,5,1,Aston Villa
12.08. 16:00,Bournemouth,1,1,West Ham
12.08. 16:00,Brighton,4,1,Luton
12.08. 16:00,Everton,0,1,Fulham
12.08. 16:00,Sheffield Utd,0,1,Crystal Palace
12.08. 13:30,Arsenal,2,1,Nottingham
11.08. 21:00,Burnley,0,3,Manchester City
